ags,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
8236031,1793.609,402.46643,1610.113,457.62439,1364.2279,268.71704,1425.6283,337.01248,1421.3724,352.28186,1463.8494,223.81432,1587.0405,244.40036,1847.5588,324.57397,2156.7268,382.69098,2142.0522,253.32014,2288.5181,99.424965,2782.2805,200.60674,2606.8772,119.10781,2969.8284,172.43291,3375.3811,280.88602,3980.9692,396.43246,3651.436,585.73596
8236033,1810.9744,61.858429,2009.209,90.395584,1743.3451,31.530846,1733.3403,86.39238,1539.8339,22.624756,1519.9731,65.107841,1727.0281,45.538666,1740.3086,265.34894,1960.2919,42.828152,2187.8337,75.580696,2304.866,295.66821,2622.0237,229.80559,2911.5737,37.104218,2771.9602,139.06302,3217.998,235.17126,3103.0376,493.36145,3551.8125,253.5403
8236038,1843.9686,22.686949,1938.6851,56.230785,1646.1151,14.695981,1618.6699,29.286839,1487.9945,127.50797,1496.1808,22.145613,1653.484,70.301666,1630.0022,20.027037,1960.6736,101.32058,2053.637,51.329823,1982.4662,147.22455,2090.8755,149.75259,2605.3784,512.76221,2596.9504,425.01425,3353.4934,88.664749,4001.6016,1021.0372,3364.2244,598.00061
8236039,2077.2278,20.715689,2158.1033,137.08784,1985.5933,20.428226,2091.1479,170.09914,1819.0409,86.453049,1976.7518,3.8257098,1913.6857,85.765831,1840.3138,76.17321,2071.7249,147.22949,2346.304,33.399323,2666.7043,38.625175,3469.2712,27.717415,4096.3857,183.55313,4921.104,61.096054,5188.1885,108.40374,4808.0376,123.15526,3946.5403,238.42673
8236040,1756.9576,17.963614,1621.3529,54.926186,1585.5769,.64325535,1612.0151,8.1336823,1487.7264,74.699547,1487.8208,54.588894,1547.2231,21.525091,1608.5974,22.541546,1948.2462,47.980675,2225.4836,47.113178,2247.0728,5.45151,2358.1033,104.80512,2483.4702,245.68478,3420.3401,192.56305,3562.9868,192.92262,4263.2471,8.7956715,3590.4148,82.060158
8236043,1613.2578,86.955414,1645.515,9.9544249,1473.3635,.31454912,1404.1152,62.835281,1273.5464,3.9786663,1210.1915,34.715511,1393.4613,95.552292,1424.3483,15.175431,1813.896,170.98457,2064.7729,153.77577,2098.717,31.324976,2208.2344,12.202408,2246.8704,256.23965,2931.8369,136.35374,3348.6045,361.85733,2842.5051,44.587742,3478.0615,66.477562
8236044,1671.2062,63.088932,1619.0295,29.134258,1455.1283,83.153099,1669.7119,105.09492,1535.9423,236.18929,1359.27,100.91129,1336.6302,99.64547,1327.8156,136.55164,1548.9406,82.899078,1436.6107,80.672279,1649.4166,6.2501998,2247.1794,147.55446,2746.2869,234.01117,2928.0276,95.60038,3234.5051,590.07404,3589.4331,161.70546,4037.5867,477.11401
8236046,1900.3324,253.50456,1672.7894,253.79793,1434.0475,202.54857,1500.4851,263.53821,1431.3906,160.61172,1430.9518,148.30447,1560.3856,186.18909,1750.7826,136.52319,2009.7684,86.481079,2233.3933,198.15164,2361.2046,26.772104,2685.4155,201.68132,2471.6284,79.123222,3163.2649,234.18079,3756.8821,478.53378,4512.7622,302.11899,3713.8354,57.546715
8236050,2163.6118,202.92418,2078.1599,224.10838,1824.3136,101.59914,1759.675,153.62766,1591.5808,72.864365,1582.5088,103.26029,1710.8136,43.308727,1855.165,39.625591,2232.4934,7.1851587,2233.3867,94.914085,2173.3613,49.623817,2469.7183,163.3365,2517.0474,199.82915,3058.4182,274.20294,3305.7576,14.958797,4198.603,91.945641,4084.4529,86.112595
8236061,1595.1735,45.803814,1686.2599,116.24056,1495.4623,12.227304,1456.9604,58.259914,1411.3287,21.255167,1577.2305,45.850998,1691.0775,234.24728,1613.6151,206.4267,1795.0349,40.848812,1921.0304,3.0115817,1894.0579,155.57758,1838.7607,129.28932,2062.3352,156.64694,2292.3206,566.64038,3377.2124,40.024868,2931.8416,14.13861,2931.9102,504.25235
8236062,1958.0159,150.96623,1954.1003,155.41287,1780.6527,19.358133,1828.4922,.53277266,1772.696,16.368752,1664.9254,66.514664,1774.7749,86.345474,1729.1563,94.085365,1948.7703,44.455414,2111.6675,371.90619,2394.7949,206.59094,2977.866,301.23373,3683.293,126.36115,3389.5149,41.258076,3599.8401,226.8418,4251.9028,18.927814,4334.958,219.55771
8236065,1966.0975,17.957466,1937.4232,31.271683,1671.3829,82.525055,1836.781,32.622879,1596.9747,192.00456,1822.6609,46.069099,1744.1083,39.571281,1767.2744,24.540449,1926.491,202.12749,2027.839,44.647221,2354.9189,20.665533,2911.2764,408.72955,3158.4236,252.44765,4187.0078,71.642052,4619.7197,109.11285,4406.2549,75.283806,3448.8882,239.98578
8236067,1991.6941,30.648373,2019.0844,127.77587,1872.2471,5.3727298,1841.1326,170.20241,1688.1628,30.025585,1758.8695,96.18087,1820.2521,81.615517,1824.3004,116.52217,2102.457,142.0968,2465.6421,42.195774,2515.6228,227.82576,3091.6748,116.65305,3574.2397,447.30124,3837.3979,194.14217,4176.2832,242.85059,4700.5801,89.266991,4237.6025,198.47739
8236068,2067.0669,47.156693,1958.0734,135.91469,1681.3007,173.51425,1772.5165,94.477486,1714.3583,145.61609,1741.769,34.785233,1826.1288,96.799454,1868.9218,202.076,2016.223,193.45377,2428.6741,84.921547,2577.9512,71.234634,2801.147,60.854149,3048.3469,647.59839,3657.3726,252.08536,4187.5195,512.67639,4810.6855,55.347145,4079.168,187.64563
8236070,2128.9294,173.61998,2200.7078,236.67099,2040.1053,267.06543,2039.3118,267.60703,1614.7322,68.087738,1720.4282,84.832573,1712.8042,7.5667996,1714.7745,33.383984,2153.1365,33.330627,2219.5571,.36686328,2337.9565,136.97298,2439.5557,85.335686,2490.2708,184.72386,3284.0256,156.38672,3360.5159,99.827133,3715.5225,547.21704,3359.1543,35.797832
8236071,2063.0549,43.634712,1875.2701,1.5057896,1888.245,20.298637,1663.6654,37.085468,1649.8633,93.760689,1590.5864,79.431404,1733.2278,110.34833,1738.0172,38.124298,1944.4989,213.33151,2265.5071,64.27459,2368.7375,64.29348,2331.1443,43.767704,2526.5112,158.2798,3139.0942,130.34207,3447.4167,6.5809278,3401.8147,152.02946,3218.7129,160.11435
8236072,1770.9327,178.2478,1788.1361,89.093529,1585.0735,53.34568,1521.5007,176.53059,1329.3407,108.4198,1331.4449,134.57097,1461.5637,207.89973,1440.0712,170.18318,1722.0625,191.02269,1866.2451,163.33514,2184.3943,303.71939,2203.0242,205.43156,2720.918,259.73709,3318.4968,370.6647,3698.3843,211.30611,3416.0388,286.23468,3922.9448,289.6489
8236073,1867.5393,61.703606,2062.5056,14.703969,1844.7867,18.822855,1750.9609,9.7842789,1856.7854,166.89848,1648.8082,266.12991,1644.4709,116.12461,1817.443,86.708488,2040.9132,296.22061,2124.6987,159.89406,1953.1937,281.88101,2100.2627,30.711672,1929.7711,69.443184,2649.4465,182.85013,3406.2988,253.01199,3352.4595,1.2000984,3502.6785,457.69763
8236074,1807.1932,63.508179,1799.165,33.231865,1794.1396,88.28054,1639.218,131.99052,1477.0581,111.27111,1709.6355,95.829544,1899.8468,80.131294,1753.0724,13.284341,1802.0594,116.47392,2013.2031,42.201241,2094.749,51.786026,2289.1472,209.31538,2645.9082,572.59589,3172.3416,195.99147,3099.5474,305.12634,3295.7166,545.20721,2652.1025,122.99756
8236075,2282.9797,95.554825,2281.6912,123.28242,2009.6516,94.552834,2028.9253,162.88533,1974.5403,136.45515,1827.4683,27.532291,1933.6725,234.15683,2002.8909,49.214741,2379.7556,33.820873,2433.1086,252.04317,2114.3923,32.678814,2363.9636,1.1087959,2452.7917,23.115416,3231.2415,157.01561,3597.3301,83.640862,4243.3501,358.42691,4265.7798,637.88507
8236076,1860.0739,157.13072,1808.4634,77.394966,1907.5258,44.705154,1615.809,8.0902224,1818.0859,29.725443,1680.4159,20.416988,1764.9883,86.785408,1671.6295,112.08111,1892.5333,23.97401,2103.0796,11.110066,2194.5796,138.17519,2212.0334,164.08879,2285.7185,21.96649,2932.5076,95.634262,3280.6792,36.943398,2969.426,55.734634,2889.3486,6.429863
