ags,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
1058068,4.5749044,.079336286,4.753119,.054929346,4.9314394,.42571428,4.6877499,.30330664,4.5775414,.15253036,5.1639876,.51024693,5.270072,.62480736,5.4935608,.44674775,5.5095768,.66824037,5.606288,.50586343,5.8433905,.49664885,6.0907516,.48476043,6.6056876,.30928102,6.9528537,1.6275085,7.6182733,.62363249,7.7776852,.69393444,8.3663082,.52863252
1058069,5.2827539,.8466925,5.6520042,.15837424,6.3919916,.44026324,6.2849841,.020070126,6.1943359,.0043072379,6.3543921,.16042419,6.4999652,.090178013,6.4665093,.13528991,6.7674088,.28277239,7.2471285,.12258907,7.1977735,.20450094,7.3034382,.016381709,7.8517776,.046501186,8.4724464,.31242973,9.3512945,.8686142,9.8327456,.0774175,10.886304,.79435807
1058070,4.629745,.064054333,4.6084423,.076275446,4.7385397,.073015161,4.6316175,.24789001,4.3294187,.25633466,4.673955,.26475784,5.1094065,.20416537,4.87642,.091419026,5.4310355,.04706578,5.4538169,.14795537,5.8324699,.09784352,6.3293514,.23630892,6.4752951,.36609277,6.8133392,.049935672,6.8939939,.6428895,7.072371,.42612875,7.2087021,.52635515
1058071,4.7690959,.10295419,4.7907658,.073294319,5.0733142,.050092585,4.9438305,.062075097,4.8656044,.044711635,5.1781535,.16306508,5.3946872,.0029366564,5.49651,.0068672309,5.8233294,.27436551,5.8137774,.04325192,5.9893064,.006805894,5.9420171,.01234995,6.5291705,.094052546,7.1035414,.43400359,7.7743845,.023128979,7.5967627,.084268808,7.6152434,.31070355
1058072,4.1493683,.21798778,4.6331296,.14083908,4.3269362,.10611355,4.1935911,.13829216,4.0589743,.08597216,4.4071221,.017861517,4.0716743,.049613778,4.6577473,.37326488,4.5612783,.087350488,4.8551416,.028793361,5.3964615,.026209708,5.7399759,.20754009,6.2348599,.11200015,5.3319812,.44184381,6.3562303,.69524068,7.5243845,.97790635,8.2289371,1.2820947
1058073,6.3643694,.33473316,5.4441957,.65599382,5.1296015,.16132939,5.2189341,.28050071,4.4062576,.24017015,4.4446959,.29264563,5.0821872,.087683752,6.2395763,.76205194,5.7880201,.57457018,5.8785033,.66869795,6.2508259,.52977198,5.5483809,.64326525,5.8829045,.83441037,6.8223443,.6289683,7.1870298,.23521547,8.0748158,.33630782,7.992332,.24620061
1058074,4.5299125,.011607271,4.7451539,.096518151,4.7300234,.064232081,4.702055,.16773345,5.110414,.02347214,4.9141321,.074505366,4.8919907,.049934171,5.3585749,.039872758,4.9118819,.24104416,5.8383408,.2499235,5.9646816,.24876139,5.7912526,.24641997,6.4154253,.37254477,6.0325565,.22663628,7.4232845,.40655243,7.4194255,.53475791,7.2548571,.94746459
1058075,4.8151293,.13427454,4.7304358,.16776271,5.0554724,.083969176,4.942781,.059316859,4.7421527,.16971226,4.9912572,.067556232,5.4160318,.17209259,5.3625317,.11642487,5.6015058,.085757032,5.822948,.031818639,6.0098586,.069641203,6.1753416,.094139457,6.5648441,.097299412,6.9333229,.023514671,7.7212472,.27854815,7.4449453,.10399655,8.1500511,.13670923
1058076,4.7843494,.63220078,5.1881514,.33286938,5.589819,.15493467,5.6664648,.029146301,5.639133,.16724122,5.7598748,.28514302,5.8293524,.035894018,5.9640045,.16136628,6.1170425,.024051912,6.7695212,.24140339,7.1032023,.19108751,7.1558652,.30673105,7.7004504,.27624524,7.7823205,.10814936,8.2833958,.3571471,9.1300745,.48850664,8.738286,.50925386
1058077,4.8568678,.17435834,5.1512074,.043864071,4.7879295,.061068531,4.8113093,.25197363,4.951745,.16545616,4.9388952,.098012671,4.871623,.042669486,5.2988458,.22030516,5.1982012,.28462759,5.5096445,.0071725314,5.5895376,.019218152,5.7256303,.11642906,6.2455311,.043189716,6.0511651,.021802895,7.0142012,.47294718,7.3198524,.49000338,7.7744765,.78940362
