county_id,pprice_qm2007,pprice_qm_se2007,pcv2007,pprice_qm2008,pprice_qm_se2008,pcv2008,pprice_qm2009,pprice_qm_se2009,pcv2009,pprice_qm2010,pprice_qm_se2010,pcv2010,pprice_qm2011,pprice_qm_se2011,pcv2011,pprice_qm2012,pprice_qm_se2012,pcv2012,pprice_qm2013,pprice_qm_se2013,pcv2013,pprice_qm2014,pprice_qm_se2014,pcv2014,pprice_qm2015,pprice_qm_se2015,pcv2015,pprice_qm2016,pprice_qm_se2016,pcv2016,pprice_qm2017,pprice_qm_se2017,pcv2017,pprice_qm2018,pprice_qm_se2018,pcv2018,pprice_qm2019,pprice_qm_se2019,pcv2019,pprice_qm2020,pprice_qm_se2020,pcv2020,pprice_qm2021,pprice_qm_se2021,pcv2021
09179,2811.657,66.786171,.023753313,2692.0322,86.75975,.032228347,2755.2505,28.430513,.010318668,2873.4734,44.721031,.015563405,2901.1216,8.6190844,.002970949,3244.79,99.825684,.030764913,3507.4443,7.1995692,.0020526538,3921.3428,236.34807,.060272228,4250.7075,192.71497,.045337152,4975.8833,106.18169,.021339266,5344.665,36.775951,.006880871,5645.7642,41.80608,.0074048578,5852.292,65.201279,.011141153,6350.6646,55.108486,.0086775934,7265.8125,95.903885,.013199334
09180,2315.5139,27.00728,.011663622,2210.0059,59.461021,.026905369,2131.2654,54.155365,.025409959,2261.1226,13.847779,.0061242939,2329.2112,96.964165,.041629616,2673.1216,288.03174,.10775108,2653.554,77.789177,.029315092,2861.4019,263.90137,.092227995,2845.5125,31.288534,.010995747,3447.759,121.55939,.035257507,3612.7346,37.456726,.010367971,3698.4292,191.00664,.051645342,3835.4292,359.28491,.093675286,4975.5469,218.8494,.043984994,5729.5122,43.96381,.0076732202
09181,1427.7042,111.77717,.078291543,1480.7738,28.347887,.019143969,1422.3477,.35083491,.00024665904,1483.3285,128.15826,.086399108,1491.4479,13.390163,.0089779627,1547.5967,75.324394,.048671849,1802.1754,103.28872,.057313357,1674.8973,37.177078,.022196632,1895.7393,.79720408,.00042052413,2172.9514,46.771286,.021524312,2446.1482,72.494965,.029636376,2668.9297,282.81552,.1059659,2867.0393,40.465153,.014113916,3149.8132,41.034508,.0130276,3433.8372,269.27908,.07841929
09182,3632.4265,61.249012,.016861735,3407.2043,28.034973,.0082281455,3288.0488,42.651241,.012971596,3880.3696,37.161854,.009576885,3493.1338,17.925962,.0051317709,4359.4438,60.331936,.013839365,4966.1079,43.214226,.0087018302,5874.8721,200.63741,.034151793,6473.1538,531.23486,.082067393,6477.1494,27.172665,.0041951579,7249.6025,133.1879,.018371752,8584.6182,152.99487,.017821977,9331.7744,433.23846,.046426162,10506.836,217.26599,.020678537,11165.935,579.20984,.051872939
09183,1421.516,67.433334,.047437619,1420.499,16.943998,.011928202,1282.0588,30.418133,.023726003,1472.2965,11.433039,.0077654459,1394.816,32.26236,.02313019,1494.9449,49.596386,.033176061,1603.0328,47.23325,.02946493,1820.8059,48.440323,.026603783,2082.0806,105.26176,.050556049,2419.9143,237.81339,.098273471,2479.3513,132.11122,.053284593,2835.1313,78.888084,.027825195,3281.7527,11.929976,.0036352454,3531.854,67.801239,.019197067,4138.645,62.328541,.015060132
09184,3295.0095,68.397202,.020757817,3407.7227,27.770372,.0081492467,3448.5066,15.901679,.0046111783,3699.3442,77.582947,.020972081,4182.6855,46.883575,.011208965,4911.7227,119.11164,.024250481,5555.9004,247.91866,.044622589,5688.5605,302.6377,.053201102,6123.3218,131.27284,.021438174,6980.2998,267.07184,.038260799,7702.1655,282.12912,.036629844,8292.624,426.67108,.051451877,9096.3555,329.80569,.036256906,9741.6416,304.42407,.031249771,10633.236,545.5639,.051307417
09185,1692.3151,5.3124413,.0031391561,1699.9451,37.497776,.022058228,1631.6305,31.934938,.019572409,1828.6818,44.953289,.024582347,1892.7524,.39198139,.00020709596,1944.9164,70.028152,.036005739,2090.4448,215.93549,.10329643,2264.3032,111.62126,.049296074,2382.0115,87.222664,.036617231,2442.7996,337.17258,.13802712,2838.5156,11.254815,.0039650355,2900.8604,307.27383,.10592507,3127.9702,140.1093,.044792403,3645.3657,55.318924,.015175137,4026.6296,331.13583,.082236476
09186,2220.5181,183.51068,.082643181,2095.2996,148.38777,.070819356,2130.9036,219.66008,.10308307,2214.3611,250.77863,.11325101,2471.116,345.0983,.13965282,2657.1458,508.58066,.19140111,2925.5601,445.86713,.15240403,3201.325,370.30823,.11567343,3626.3381,531.85815,.14666535,3991.1599,444.69815,.11142078,4317.8027,554.91705,.12851839,4438.9487,470.2865,.10594547,4352.4106,344.86688,.079235829,4319.7139,335.60699,.07769195,4545.251,352.88525,.077638231
09187,2207.3037,182.55766,.082706183,2141.6448,113.89547,.053181309,2250.825,96.047379,.042672079,2182.8137,142.6152,.06533549,2313.3394,221.65596,.095816448,2360.6479,118.16803,.050057456,2733.1868,228.4274,.08357548,2641.3457,65.665871,.024860764,2845.6499,73.709343,.025902463,2899.7546,16.452204,.0056736539,3896.604,721.68091,.18520766,3643.9832,24.477413,.0067172134,3877.5166,164.43584,.042407513,3952.3501,210.98166,.05338132,4283.061,13.624804,.0031810901
09188,3629.0396,27.935812,.0076978528,3614.0398,124.09912,.034338061,3599.0508,127.01871,.035292279,3847.5474,42.524609,.011052393,3912.5527,130.73238,.033413574,4333.2139,132.32034,.030536305,4278.7583,61.050533,.014268283,4659.0635,97.895966,.021011941,5049.7749,68.413033,.013547739,5825.2964,34.501472,.0059226984,5722.1177,148.05696,.025874505,5880.752,118.72414,.020188598,6302.3423,118.15181,.018747285,7213.1128,91.85463,.012734395,8290.4219,1071.3009,.12922151
09189,1758.182,68.202393,.038791429,1832.7999,55.61219,.03034275,1774.0505,172.63089,.097308889,1696.6292,129.00056,.076033451,1756.0874,99.249481,.056517392,2104.6187,279.84409,.13296665,2013.8259,190.52255,.094607256,2094.0525,163.3661,.078014329,2192.0801,31.62804,.014428323,2398.0503,70.390144,.029353073,2678.1233,120.25142,.044901375,2700.2957,143.7507,.053235173,3157.4307,204.74934,.064846821,3478.5142,91.851563,.026405402,4261.7368,310.10745,.072765507
