gvb_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023,obs_id
59660012,1141.8706,28.400539,1142.5645,32.411781,1061.5001,118.08496,999.47632,45.05648,904.30585,69.952156,933.07703,61.951733,1023.4935,97.850655,1062.4293,99.872093,1248.1539,139.89876,989.40326,150.3764,1084.0758,51.433804,1221.3673,52.182251,1448.0773,190.61276,1750.5927,60.306797,2130.658,315.77469,2329.4248,187.9792,2644.1606,588.39502,922
59660016,1190.2677,32.484867,1207.8868,79.234375,1084.1863,27.694393,1072.9495,35.62991,1118.6874,12.381901,1096.2557,41.226692,1003.6024,11.870271,1006.3747,68.190773,1207.0474,25.961647,1121.0114,58.906792,1257.3357,67.899261,1292.9731,.23830788,1325.8851,248.38387,1879.407,110.58097,2112.9319,134.75462,2417.1946,152.02361,2562.2046,67.315086,923
59660020,1180.202,.350539,1107.97,11.256859,1046.5828,7.989881,1011.5726,9.0084372,907.9342,65.736107,1001.1685,4.6077232,989.97076,7.6394887,1067.526,59.596466,1252.0616,8.6155176,1107.7783,22.105415,1195.321,13.524449,1288.5679,54.450668,1522.6658,3.8447039,1742.1625,104.11906,1987.615,58.28664,2444.7476,225.78633,2712.2095,215.36995,924
59660024,1440.9531,64.999504,1350.1626,7.8895154,1375.4766,68.041847,1565.2709,37.460106,1445.4957,120.51752,1500.7123,85.917358,1654.0858,79.088898,2147.0957,137.79887,2246.9792,61.728207,2080.9084,364.1347,1728.7587,89.541145,1989.6553,148.94731,1888.7263,33.67474,1169.6323,200.57286,2304.2729,881.71326,2822.5247,384.02582,2657.7395,283.35031,925
59660028,1368.3591,110.56978,1367.849,43.424686,1315.3804,193.58197,1321.7167,63.551388,1246.3098,132.4341,1208.7312,38.20784,1315.1603,123.05128,1470.8013,203.18629,1534.3855,38.483238,1832.8768,496.91763,1779.197,210.17192,1495.7871,21.574787,2018.0035,361.98953,2735.3508,1132.0747,2401.979,266.42615,2735.3132,372.08429,2549.2554,60.831924,926
59700004,1216.255,33.60767,1275.7858,21.55179,1266.064,95.460953,1044.2931,52.990673,1279.4624,58.385731,1077.7185,30.140274,1077.6835,69.829887,974.33417,80.392029,1314.1925,116.03253,1289.2858,107.7796,1184.5468,71.392464,1356.2632,180.63658,1256.0059,485.83563,1645.6753,8.5774736,2138.189,304.72638,2301.2769,218.17064,2096.8628,78.93206,927
59700008,1254.8585,117.05702,1225.4747,125.3056,1184.1256,145.1076,1312.1921,192.96219,1175.3813,67.679527,1162.269,261.28247,1128.5737,173.79939,843.8399,136.85812,1117.5348,149.97202,1473.8228,84.302544,1638.547,18.889351,1619.5616,313.45102,1149.3046,224.7137,1579.9653,501.21243,2089.5718,134.76703,2167.6904,345.81934,2258.6926,280.87842,928
59700012,1060.7406,136.50589,1154.6786,51.470589,1004.0228,110.60773,925.5174,27.044682,1129.8339,78.44915,1051.8809,38.841469,940.40875,116.31198,918.09344,46.186024,1205.8055,113.01702,979.35522,149.69395,1045.3022,59.86932,949.16254,238.3045,1070.3777,347.68579,1710.9905,32.634644,1816.2473,404.64377,2022.3229,326.95166,1853.9711,220.9895,929
59700016,1460.6328,99.717903,1443.4019,57.851547,1464.8435,79.763435,1410.7516,184.47702,1296.7031,214.36844,1272.3074,148.06949,1306.0267,62.824036,1086.2449,136.68425,1517.8324,49.85894,1625.5269,105.36868,1531.006,121.29481,1559.2308,35.749241,1984.0125,7.9934311,2139.7744,283.94693,2640.8127,106.89561,2767.1719,95.33963,2855.887,16.746885,930
59700020,1335.3809,66.277618,1298.3567,22.345213,1209.2871,62.659233,1086.6041,52.063725,1402.27,9.2771158,1287.6797,73.163757,1128.7705,20.415091,1092.4036,70.548401,1376.0134,40.314529,1578.6501,330.55569,1623.3281,146.44446,1884.8669,482.64264,2441.3342,599.58057,1910.9858,113.39584,1891.0553,55.212109,2382.4224,121.28286,2238.6348,59.00597,931
