gvb_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023,obs_id
120690596,6.7188125,.28348574,6.6733975,.24291486,6.7286544,.25084147,6.3140364,.073934473,6.6255302,.092961542,6.5729623,.012696036,6.5671468,.0083020153,6.6855965,.064500585,6.9447989,.041819166,7.5861225,.18146273,8.3216429,.37962368,8.491231,.16969018,8.7555046,.065900199,9.3725548,.10229158,10.453769,.010147376,10.697245,.10350921,10.452922,1.7343783,3567
120690604,6.4117966,.11905585,6.335897,.087956689,6.4291463,.029189795,6.5307388,.1276671,6.554244,.35033646,6.5225186,.17968777,6.6997528,.0071714418,6.9534893,.072188243,6.8505197,.097223982,7.8464417,.65528005,7.4324608,.31264237,8.5763311,.028694356,8.6782417,.17106131,9.2811394,.20767255,9.3935995,.13726178,10.476052,.71043831,12.218987,1.0154442,3568
120690616,6.038444,.11896609,6.110116,.0074481466,6.1212444,.086990848,6.423418,.093722619,6.657567,.061062697,6.9851475,.24704193,7.1543598,.33439228,7.3458862,.20833302,7.5504217,.11667809,7.897212,.093294732,8.006114,.030438736,9.0607805,.015295841,9.3858776,.016612861,10.50209,.835711,11.068383,.1061379,11.262516,.72482836,13.972798,3.9808292,3569
120690632,4.8050971,.26886362,4.6842241,.69326168,4.9774065,.74338102,4.4624848,.40862542,4.4574118,.61385685,5.1560135,.57192695,5.1904602,.010843525,5.1715708,.25522822,5.134376,.11307135,5.3801994,.024479788,5.571743,.49575827,5.8797584,.086001784,5.5825214,.23991929,6.1655636,.60651112,7.0175457,1.1269282,7.5218143,.53524381,7.285265,.36300504,3570
120690656,5.9499168,.072847091,5.9105821,.0088626007,5.8761702,.0010756499,6.2089958,.075791396,6.0753775,.087461472,5.98522,.097940281,6.2491722,.21944629,6.6377573,.077787049,7.4165244,.14250609,8.0873852,.12909199,9.8710127,.26767862,9.2816467,.10521279,10.094283,.25720027,9.1173353,.26081973,10.546576,.18643712,11.591326,.22355969,12.647596,.54291737,3571
120690665,4.7311592,.13326441,4.7110057,.12347866,4.5165834,.144107,4.3799591,.025856972,4.5624895,.096182115,5.0955458,.011365201,4.9506845,.0023705771,5.0532851,.028178602,4.9765706,.13137524,5.4761896,.00090857799,5.4521046,.067789093,5.3800778,.22707646,5.7642045,.1048355,5.8545713,.0045018825,5.7723813,.065668583,6.3126922,.0032773167,6.8245044,.10367832,3572
120695902,4.7259979,1.3645452,3.5441904,1.0968062,3.3532829,.96385229,3.0446341,.87998867,3.8065083,1.655194,3.9189405,1.3237683,2.7566831,1.2912943,2.4342506,.57752961,4.2750187,1.6919219,5.6676311,1.7114931,4.2920995,1.1478385,5.5307684,.21900287,5.0281148,.10147142,3.898308,1.2208765,4.2300916,1.1550394,3.8153822,1.1110023,5.2479897,2.3168981,3573
120695904,4.7699871,.24865146,4.6335936,.0025185931,4.5908828,.072150223,4.5072994,.059151586,4.3404131,.14787254,4.9811544,.18113689,4.7230234,.056937866,5.0281,.44157937,5.227427,.32081819,5.6772308,.36066982,6.5792885,.37052563,7.5798779,.60546798,7.8087792,.82654899,7.4149799,.67238188,8.777853,.12848006,9.3390312,.0049838759,10.099584,.9090907,3574
120695910,4.3869085,.22588728,4.0078087,.46575668,4.1072006,.30496436,3.9706788,.57017922,4.0883756,.55728948,4.4812036,.48661458,4.3488812,.4462502,4.5788107,.24538723,4.7372727,.19554293,4.705276,.54154921,5.8929787,.87818664,5.2478757,1.2121577,5.4623728,2.0254433,5.5031624,.1529171,7.5859103,.13797058,8.4702826,.69391167,8.8122559,.24021246,3575
120695917,5.2952399,.082158342,5.6028466,.14167768,4.566133,.35250929,4.895843,.0082333963,4.958921,.17327869,5.3848319,.87857032,4.94175,.31678164,5.2798195,.027221654,5.5193,.021296438,5.3390226,.28688079,5.8028498,.36992288,5.7433767,.62192655,5.7864375,.60490018,7.0173779,1.7613676,6.8309298,.65027463,6.95015,.54747462,7.1704788,.00021013613,3576
