price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,hexagon_id
1786.2368,.75772095,1744.3895,13.950612,1645.0321,13.986811,1984.629,7.3427029,2116.5671,8.8619766,3209.8984,3.2929556,3411.8689,10.941416,3725.8669,8.0508528,4271.1938,19.293924,4241.9302,17.487083,4656.9917,9.6309566,5278.3467,14.087746,6032.2764,17.750309,5985.6865,13.681585,6368.9785,9.8477783,AA-24
1774.6444,2.6644459,1711.5698,7.5169802,1597.0673,8.1704922,1961.9484,4.2120175,2095.0481,6.1753101,3316.1616,1.8150535,3507.6724,6.2610621,3796.8853,2.3611984,4341.8149,10.345097,4289.2554,1.0674939,4709.7607,1.1638333,5337.2754,5.6441231,6096.7666,.20082818,6027.2891,.53808087,6384.0269,1.5752966,AA-25
1758.722,2.0449018,1724.2604,15.292007,1611.9436,16.702724,1963.3214,8.4364529,2102.9514,13.064931,3338.1826,10.692316,3499.7568,15.795631,3791.9207,17.255905,4324.9004,20.495731,4286.8101,6.7728438,4727.0356,8.5068512,5344.0547,5.7802505,6099.1279,26.277506,6039.8848,5.855186,6393.4165,.18101595,AA-26
1771.4852,4.5317707,1773.5509,15.69281,1666.5887,12.205577,1995.4152,8.1319647,2134.7212,11.913939,3294.7344,19.709198,3456.2585,13.793391,3777.9468,10.101995,4276.9429,.82266223,4273.3184,1.8749722,4708.9194,6.3319445,5337.3857,25.331944,6085.5015,18.614786,6034.1655,6.9110541,6398.8003,.94185585,AA-27
1777.5564,2.2409754,1793.3226,2.0032194,1684.1913,.57187879,2002.9967,6.021956,2148.8228,7.3800941,3253.2981,7.6393747,3419.0979,6.7634883,3755.3342,5.1947465,4241.6606,5.3044996,4249.5151,4.6582937,4689.9839,.79503024,5309.5137,15.196658,6055.6919,23.24654,6001.7568,1.4567224,6380.5498,.036781345,AA-28
1767.5209,.91622448,1772.553,6.0611548,1658.5237,13.923157,1985.3062,18.50037,2125.7231,11.430126,3234.4377,22.699331,3393.9377,20.06752,3729.5027,17.734707,4219.0049,11.109279,4220.4092,18.769871,4658.0786,13.610345,5267.2925,17.049734,6014.4614,44.1754,5979.4092,17.255878,6357.2949,20.61058,AA-29
1777.4221,7.8878107,1766.6791,3.4971528,1644.9987,9.7826595,1965.2986,11.107802,2114.7053,9.1307468,3196.2295,9.0602255,3355.1921,11.548245,3675.2957,6.9716268,4154.2788,2.6664057,4180.7402,5.482028,4615.1807,4.7917185,5222.478,17.503563,5976.3389,34.72081,5951.8418,14.234124,6344.1733,26.77853,AA-30
1772.4486,1.6735203,1761.0066,8.9880476,1637.2893,17.300301,1961.337,7.4665928,2107.6086,9.9972467,3167.1406,22.794313,3334.02,18.698383,3618.4407,6.1540799,4110.4292,6.1066847,4140.1006,15.254043,4561.8789,12.799378,5154.5815,13.620611,5876.3848,16.06356,5875.6001,6.076169,6296.7495,14.369883,AA-31
1779.6224,1.9272741,1780.3159,12.423751,1658.3018,14.287959,1963.2684,3.0821068,2114.5928,2.6914375,3101.8599,17.533995,3274.2646,16.43722,3540.1284,6.2211814,4043.8174,10.45916,4069.137,19.969357,4471.9805,11.271474,5059.6235,11.863264,5692.4219,13.739688,5786.5879,10.23785,6234.2368,18.097242,AA-32
1770.1536,12.865252,1793.5946,17.441261,1677.438,14.628827,1949.6207,8.5025043,2099.2896,6.5927577,3015.4246,17.846354,3177.5051,18.866474,3432.9543,10.170091,3939.811,27.400776,3986.4766,21.089903,4366.0293,9.0101833,4954.6025,10.739654,5550.7861,12.797997,5672.5596,3.3467689,6111.1665,3.3920817,AA-33
1818.3823,10.745893,1849.212,23.966906,1731.026,13.386179,1970.9216,5.6413789,2101.4685,.36364451,2884.0999,10.32956,3052.041,18.200504,3294.3801,22.528959,3792.6255,11.689604,3867.9299,11.896585,4218.4453,28.600088,4802.0151,12.56642,5348.8467,30.329594,5558.5908,8.4543715,6026.3174,.83150578,AA-34
1839.807,18.39398,1846.9259,14.132092,1740.438,11.50408,1987.0835,14.319176,2108.5847,7.8452044,2845.0764,5.1044054,2998.6716,17.363504,3247.0591,20.237463,3718.9709,25.457718,3805.0732,18.583611,4193.8994,9.1640167,4761.334,3.1169107,5278.8877,5.5361848,5489.3999,2.292717,5961.5405,12.537508,AA-35
1840.766,4.0899014,1838.5046,.86683303,1724.3264,4.8504848,1952.5515,2.9828844,2082.3879,5.0573487,2805.6179,7.1075969,2962.8782,2.9586761,3198.238,.42985618,3620.4307,7.9734259,3750.6689,1.8540943,4129.5503,1.3044674,4680.2686,9.1727743,5220.5298,29.184956,5400.3711,5.6649103,5874.8857,6.5632424,AA-36
1826.889,8.929925,1824.401,14.361119,1708.6699,22.885633,1921.6846,7.0233483,2055.4128,11.403686,2748.7642,17.472889,2926.4839,30.42115,3171.0518,40.412804,3636.239,34.801266,3702.2368,9.1930866,4062.8674,11.421768,4610.0576,27.646584,5124.9956,52.271866,5312.4932,5.7520885,5779.1265,18.476816,AA-37
1836.1124,4.2536254,1835.8638,3.9845817,1723.3816,3.5590484,1919.3102,10.485854,2057.7795,8.0451927,2645.0334,6.3411155,2817.9363,15.936821,3068.6436,2.6852362,3534.1704,34.20409,3608.0093,12.879186,3952.4626,8.0763454,4465.2969,29.561031,4967.1152,6.6907973,5237.6406,1.6067356,5721.189,17.158403,AA-38
1831.3519,4.1477017,1837.0299,1.5203631,1726.7744,5.462235,1897.8304,.89083749,2051.5361,6.8616276,2590.0703,1.796979,2746.0574,4.3692927,3005.4553,4.4198589,3425.4314,4.8601499,3558.9006,8.0473309,3878.1443,6.1532302,4326.8364,29.104841,4772.7837,10.323889,5164.7158,7.8099132,5671.7949,4.0866208,AA-39
1806.7439,6.2921433,1821.5006,3.5156736,1718.1671,2.9873722,1872.3926,2.7440541,2022.0857,3.7865088,2513.4563,9.4065723,2679.7634,11.436818,2933.3271,.3216176,3248.2583,27.149284,3449.7197,3.5880938,3779.5371,8.0585289,4225.2461,28.69441,4668.3428,12.17459,5071.1416,2.7082493,5593.123,6.2300887,AA-40
1946.0581,3.5531371,1951.175,6.7953072,1850.8534,2.6234212,1932.4723,6.5766234,2108.2639,.045578063,2412.2925,.72833496,2623.8784,12.149775,2808.2964,68.904076,3090.1838,41.826408,3405.3088,14.523434,3799.1465,12.100982,4255.6621,7.7285824,4567.9453,32.531219,4917.9424,19.266804,5539.4463,29.531437,AA-41
1875.1143,19.660589,1858.2345,2.2878327,1732.3763,18.624336,1798.5524,19.577978,1903.6969,35.953835,2270.8635,53.561287,2385.2991,5.5424676,2479.6765,46.765221,2986.0432,10.621166,3064.8914,32.057644,3271.4768,79.543167,3767.9001,64.28022,4097.1221,31.836206,4564.4453,7.0602565,5040.6709,82.11721,AA-9
1868.6302,38.413986,1847.3894,15.637823,1746.577,10.307445,1815.017,.83149272,1913.3158,.75151229,2361.7668,65.841316,2346.8752,68.26152,2511.6313,25.039152,2977.55,81.379379,3112.301,43.562828,3322.4941,63.15279,3880.1423,4.5154443,4259.0894,19.346403,4659.791,26.854843,5125.4526,77.232361,AB-10
1785.4154,.58608472,1810.3677,1.9555883,1705.5085,3.1453388,1803.3467,15.960753,1910.7275,5.367444,2450.1702,27.532894,2485.3975,17.679329,2664.8953,6.777307,3127.2683,6.5402689,3272.4175,1.4457471,3514.4563,15.468172,4096.6274,9.8970098,4460.7065,3.7743275,4799.3281,12.995819,5204.1938,47.904194,AB-11
1788.8243,.82800138,1803.9867,11.183797,1738.9785,11.713827,1852.6315,1.591723,1985.2439,1.239929,2447.8093,2.5010478,2544.4185,32.555679,2707.436,43.631947,3072.9019,64.047493,3375.8948,10.845288,3681.4316,4.6791983,4274.1084,33.781265,4648.3276,18.790247,4977.9707,21.469011,5486.96,42.597069,AB-12
1792.2275,12.946689,1822.6156,3.8133967,1757.1932,8.2989645,1874.1741,6.0709968,2007.6525,5.8279271,2445.8225,13.24996,2594.8218,18.223171,2763.0454,26.590195,3123.5684,45.631451,3435.7942,7.2251148,3748.6038,1.3641249,4337.2573,21.460449,4684.0078,10.900038,5028.8745,5.5141788,5579.334,13.823772,AB-13
1852.0371,28.46026,1889.3201,44.987392,1843.7402,52.971771,1956.0598,43.628353,2060.1506,43.700268,2480.4641,33.858315,2660.2385,56.62257,2860.2524,49.054234,3212.9207,105.17295,3463.3538,25.152563,3802.158,12.129287,4379.5928,26.168003,4776.0474,13.575847,5159.1074,64.424515,5734.8599,115.73301,AB-14
1826.7368,16.2251,1886.656,53.290955,1864.7745,94.072891,1988.2601,62.223049,2085.0007,46.690147,2548.7791,58.975941,2722.7854,59.752735,2923.4702,62.656116,3308.3562,89.316826,3558.1938,7.9970531,3897.4492,2.5188146,4428.6494,5.2459354,4826.6343,45.118423,5191.8062,18.692265,5809.7251,80.757469,AB-15
1845.972,14.502448,1878.4613,18.820616,1784.0216,9.8330526,1976.4049,23.304291,2095.4631,25.267218,2608.5635,48.733215,2798.3586,38.264442,2996.8228,41.751282,3411.6729,51.740559,3655.0352,12.698768,4015.6147,18.351839,4562.4067,20.608313,4989.4463,20.320309,5316.4932,33.204792,5946.0698,51.019321,AB-16
